@relation R_data_frame

@attribute att1 numeric
@attribute att2 numeric
@attribute class {class1,class2}
@attribute instanceId numeric
@attribute timeStamp numeric

@data
0.207715,0.332717,?,1,1
0.006117,0.963705,?,2,2
0.947195,0.937082,?,3,3
0.347518,0.294057,?,4,4
0.115967,0.770536,?,5,5
0.156747,0.378202,?,6,6
0.694948,0.805228,?,7,7
0.523135,0.743984,?,8,8
0.481728,0.544555,?,9,9
0.204914,0.623364,?,10,10
0.010684,0.161043,?,11,11
0.540397,0.973834,?,12,12
0.394521,0.217602,?,13,13
0.233156,0.889909,?,14,14
0.592379,0.655174,?,15,15
0.652477,0.984323,?,16,16
0.37465,0.46335,?,17,17
0.443212,0.504136,?,18,18
0.630405,0.909584,?,19,19
0.491451,0.428784,?,20,20
0.717322,0.962415,?,21,21
0.172649,0.548953,?,22,22
0.587816,0.789191,?,23,23
0.204636,0.254909,?,24,24
0.225022,0.983103,?,25,25
0.836315,0.163104,?,26,26
0.00876,0.63119,?,27,27
0.880357,0.707044,?,28,28
0.509493,0.987102,?,29,29
0.710575,0.823981,?,30,30
0.616951,0.481862,?,31,31
0.617146,0.02812,?,32,32
0.073026,0.074048,?,33,33
0.280002,0.603984,?,34,34
0.353823,0.598632,?,35,35
0.876443,0.74425,?,36,36
0.375808,0.271293,?,37,37
0.886744,0.043703,?,38,38
0.86245,0.901924,?,39,39
0.76382,0.4277,?,40,40
0.061902,0.586321,?,41,41
0.662026,0.907281,?,42,42
0.248489,0.706858,?,43,43
0.607335,0.315423,?,44,44
0.451009,0.369134,?,45,45
0.177243,0.676123,?,46,46
0.74337,0.929103,?,47,47
0.644012,0.11049,?,48,48
0.306483,0.880599,?,49,49
0.928894,0.196689,?,50,50
0.157631,0.042179,?,51,51
0.786609,0.712752,?,52,52
0.762133,0.030069,?,53,53
0.667073,0.426443,?,54,54
0.743762,0.365306,?,55,55
0.322669,0.512719,?,56,56
0.131169,0.031796,?,57,57
0.691521,0.719076,?,58,58
0.288101,0.781355,?,59,59
0.996523,0.239106,?,60,60
0.130222,0.234474,?,61,61
0.57223,0.555967,?,62,62
0.920281,0.723751,?,63,63
0.242276,0.175702,?,64,64
0.829691,0.601915,?,65,65
0.303367,0.065397,?,66,66
0.266417,0.229171,?,67,67
0.371941,0.857127,?,68,68
0.388729,0.265246,?,69,69
0.669785,0.074361,?,70,70
0.178662,0.029633,?,71,71
0.277778,0.115788,?,72,72
0.349011,0.228136,?,73,73
0.594631,0.80989,?,74,74
0.348981,0.053093,?,75,75
0.681526,0.583743,?,76,76
0.945992,0.686431,?,77,77
0.444599,0.707614,?,78,78
0.658894,0.315918,?,79,79
0.155579,0.453404,?,80,80
0.549693,0.522259,?,81,81
0.696113,0.094877,?,82,82
0.129678,0.023599,?,83,83
0.052321,0.469954,?,84,84
0.969097,0.349986,?,85,85
0.011229,0.794023,?,86,86
0.818942,0.74786,?,87,87
0.107704,0.766033,?,88,88
0.945102,0.027574,?,89,89
0.636326,0.938539,?,90,90
0.959682,0.81878,?,91,91
0.833772,0.255716,?,92,92
0.716492,0.801783,?,93,93
0.11964,0.510583,?,94,94
0.05687,0.559841,?,95,95
0.882235,0.879977,?,96,96
0.071766,0.229253,?,97,97
0.645459,0.292982,?,98,98
0.544344,0.701811,?,99,99
